,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
0,5,3.0,"106 Lawrence Crescent Hill Park, Auckland",714.0,960000,-37.0129205,174.90406940000003,7009770,48,27,24,21,24,21,Manurewa,174,6.0
1,5,3.0,"8 Corsica Way Karaka, Auckland",564.0,1250000,-37.0636724,174.9229121,7009991,42,18,12,21,15,30,Karaka,129,1.0
2,6,4.0,"243 Harbourside Drive Karaka, Auckland",626.0,1250000,-37.063579700000005,174.9240444,7009991,42,18,12,21,15,30,Karaka,129,1.0
3,2,1.0,"2/30 Hardington Street Onehunga, Auckland",65.0,740000,-36.9129964,174.78742490000002,7007871,42,6,21,21,12,15,Onehunga,120,2.0
4,3,1.0,"59 Israel Avenue Clover Park, Auckland",601.0,630000,-36.979036900000004,174.8926119,7008902,93,27,33,30,21,33,Clover Park,231,9.0
5,3,1.0,"14 Tainui Terrace Mangere Bridge, Auckland",100.0,1050000,-36.943928899999996,174.78050149999999,7007917,63,15,24,33,30,39,Mangere Bridge,195,4.0
6,3,1.0,"54 Kelmarna Avenue Ponsonby, Auckland",531.0,2525000,-36.849238899999996,174.73445130000002,7004908,33,12,18,12,15,9,Ponsonby,102,4.0
7,3,2.0,"39 Rawhiti Road One Tree Hill, Auckland",1024.0,1400000,-36.9077,174.7960425,7005903,36,33,39,21,12,24,One Tree Hill,162,4.0
8,3,2.0,"17b Tawa Crescent Manurewa, Auckland",80.0,475000,-37.033322399999996,174.89811310000002,7009808,45,27,15,12,12,12,Manurewa,126,10.0
9,4,2.0,"39a Keegan Drive Massey, Auckland",204.0,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,141,6.0
10,4,2.0,"39c Keegan Drive Massey, Auckland",170.0,900000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,141,6.0
11,4,2.0,"39b Keegan Drive Massey, Auckland",170.0,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,141,6.0
12,3,1.0,"9 Menear Lane Hillcrest, Auckland",637.0,920000,-36.7925353,174.7272634,7002805,42,33,36,30,24,24,Hillcrest,189,2.0
13,3,1.0,"10 Fairlight Place Manurewa, Auckland",640.0,570000,-37.0251198,174.87963100000002,7009565,69,33,24,21,15,9,Manurewa,171,10.0
14,4,2.0,"11 Arran Drive Millwater, Auckland",650.0,1150000,-36.9040755,174.69425690000003,7004424,54,45,33,18,18,6,Avondale,174,9.0
15,3,1.0,"53a Kimber Hall Avenue Mount Roskill, Auckland",138.0,1200000,-36.9184475,174.7177085,7007562,51,36,30,18,18,36,Mount Roskill,183,9.0
16,2,1.0,"1/77 Kimber Hall Avenue Mount Roskill, Auckland",75.0,640000,-36.9185162,174.7192568,7007562,51,36,30,18,18,36,Mount Roskill,183,9.0
17,5,3.0,"42 Johns Creek Crescent Silverdale, Auckland",724.0,640000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,219,2.0
18,5,3.0,"4 Ahorangi Road Silverdale, Auckland",429.0,1180000,-36.6233277,174.66401430000002,7001422,51,54,66,24,9,12,Silverdale,219,2.0
19,5,3.0,"32 Johns Creek Crescent Silverdale, Auckland",520.0,590000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,219,2.0
20,3,1.0,"577 Mt Albert Road Royal Oak, Auckland",1381.0,2080000,-36.910598,174.7633054,7007751,27,36,24,18,12,9,Royal Oak,135,7.0
21,5,4.0,"109 Aberley Road Schnapper Rock, Auckland",732.0,1800000,-36.7506011,174.67955849999998,7002324,63,27,24,51,30,18,Schnapper Rock,213,1.0
22,4,2.0,"19 Kenley Place Avondale, Auckland",799.0,1145000,-36.8896501,174.67460690000001,7004268,48,24,30,24,18,27,Avondale,162,6.0
23,3,1.0,"27 Stottholm Road Titirangi, Auckland",1105.0,920000,-36.9284876,174.6694885,7007391,72,21,30,33,27,15,Titirangi,198,6.0
24,3,1.0,"71 First Avenue Kingsland, Auckland",463.0,1500000,-36.8721796,174.7386307,7004956,21,33,18,24,21,12,Kingsland,132,5.0
25,3,2.0,"17 Dalwhinnie Parade Highland Park, Auckland",681.0,1100000,-36.9014454,174.915807,7006932,12,12,15,12,15,24,Highland Park,90,3.0
26,3,2.0,"24a Roberts Road Matakatia Bay, Auckland",4068.0,710000,-36.6192234,174.7798928,7001678,51,18,15,27,36,42,Matakatia,189,1.0
27,2,1.0,"72 Stonefields Avenue Stonefields, Auckland",106.0,1020000,-36.887909,174.8432822,7006356,45,18,42,51,18,42,Stonefields,213,3.0
28,3,1.0,"62 Richardson Road Mount Albert, Auckland",713.0,1150000,-36.8924701,174.71401530000003,7004636,51,39,15,21,45,33,Mount Albert,198,1.0
29,3,2.0,"47b Comins Crescent Mission Bay, Auckland",211.0,1600000,-36.8540672,174.8347488,7006277,24,18,27,24,18,51,Mission Bay,168,3.0
30,3,2.0,"26 Fairholme Avenue Epsom, Auckland",402.0,1280000,-36.9031776,174.7684391,7005632,30,24,18,15,15,30,Epsom,132,2.0
31,3,1.0,"24 Fairholme Avenue Epsom, Auckland",883.0,2150000,-36.9033021,174.7686074,7005632,30,24,18,15,15,30,Epsom,132,2.0
32,5,3.0,"4 Fairholme Avenue Epsom, Auckland",883.0,2425000,-36.903732399999996,174.77070469999998,7005632,30,24,18,15,15,30,Epsom,132,2.0
33,4,3.0,"4 Fairholme Avenue, Auckland",883.0,2425000,-36.903732399999996,174.77070469999998,7005632,30,24,18,15,15,30,Epsom,132,2.0
34,4,1.0,"7 Rata Place Pukekohe, Auckland",675.0,435000,-37.1914653,174.8967586,7010341,96,36,24,24,12,9,Pukekohe,204,10.0
35,4,3.0,"19b Hendry Avenue Hillsborough, Auckland",388.0,1300000,-36.9191013,174.7602332,7007766,51,48,33,30,18,12,Hillsborough,189,6.0
36,3,2.0,"28 Tiraumea Drive Pakuranga, Auckland",1034.0,1120000,-36.9176375,174.86966619999998,7008696,90,48,51,27,36,36,Pakuranga,282,9.0
37,3,1.0,"47 Frank Street Oneroa, Auckland",1295.0,850000,-36.7850631,175.0278712,7003352,30,12,9,15,18,33,Oneroa,123,6.0
38,3,2.0,"52a Sunnyside Road Sunnyvale, Auckland",1102.0,930000,-36.8970908,174.6382264,7004023,51,15,24,21,12,24,Sunnyvale,153,9.0
39,3,2.0,"21 Capriana Drive Karaka, Auckland",551.0,1025000,-37.0639294,174.9194913,7009992,51,21,30,21,18,36,Karaka,177,2.0
40,3,1.0,"21 Overton Road Papatoetoe, Auckland",809.0,930000,-36.9710412,174.8693896,7008633,54,42,39,21,27,36,Papatoetoe,225,9.0
41,2,1.0,"1a Herd Road Hillsborough, Auckland",1108.0,1225000,-36.916308,174.7598366,7007765,39,39,30,24,24,33,Hillsborough,189,3.0
42,6,3.0,"45 Kensington Terrace Gulf Harbour, Auckland",745.0,1100000,-36.6089222,174.785329,7001675,75,12,30,51,24,42,Gulf Harbour,234,1.0
43,5,3.0,"15 Harapaki Road Meadowbank, Auckland",613.0,1925000,-36.870046200000004,174.8251511,7006190,69,12,42,45,18,18,Meadowbank,201,1.0
44,3,1.0,"25c Pleasant Street Onehunga, Auckland",758.0,990000,-36.9198143,174.77225280000002,7007820,33,9,18,21,21,6,Onehunga,114,2.0
45,4,2.0,"40 Rushgreen Avenue Pahurehure, Auckland",727.0,920000,-37.0648902,174.9286899,7009998,48,21,18,18,39,33,Pahurehure,174,1.0
46,2,1.0,"A/18a Holly Street Avondale, Auckland",59.0,600000,-36.8900779,174.69238700000002,7004387,57,42,33,21,21,21,Avondale,195,8.0
